report_no,name,maker,prdlst_type,report_date,category,ingredient_count,ingredients_json,dup_count
2018044207712,멀티프로틴,에이치엔웨이,기타가공품,2018-03-07,protein,26,"[""L-카르니틴"", ""홍삼분말"", ""기타가공품"", ""산화아연"", ""푸마르산제일철"", ""아스파탐"", ""수크랄로스"", ""유산균혼합분말"", ""계란단백농축분말"", ""L-글루타민"", ""타우린"", ""산화마그네슘"", ""유청칼슘"", ""기타가공품"", ""대두레시틴분말(고시형)"", ""탈지분유"", ""밀크향분말"", ""유청단백분말"", ""구아검"", ""우유단백"", ""초코렛향분말"", ""우유분말"", ""유청단백분말"", ""코코아분말"", ""유청단백분말"", ""닭가슴살분말""]",1
2006031126950,메가 프로틴쉐이크 구수한맛,(주) 빅솔반월공장,기타가공품,2012-12-26,protein,50,"[""유청단백농축"", ""분리유청단백"", ""비타민 C"", ""레시틴"", ""치커리뿌리추출물"", ""분리대두단백"", ""대두단백"", ""레시틴"", ""분리완두단백"", ""둥글레추출분말"", ""둥글레추출고형분"", ""덱스트린"", ""누룽지맛분말"", ""누룽지분말"", ""대두볶음분말"", ""혼합분유"", ""포도당"", ""덱스트린"", ""밤농축분말"", ""밤농축액"", ""덱스트린"", ""혼합제제2"", ""제이인산칼슘"", ""L-로이신"", ""L-발린"", ""비타민E호합제제"", ""DL-a-토코페릴아세테이트"", ""변성전분"", ""말토덱스트린"", ""이산화규소1"", ""푸마르산제일철"", ""니코틴산아미드"", ""산화아연"", ""비타민 A 혼합제제"", ""VITAMIN A ACETATE"", ""말토덱스트린"", ""아라비아검"", ""옥수수전분"", ""비타민 E"", ""판토텐산칼슘"", ""비타민 B6 염산염"", ""비타민 B1염산염"", ""비타민 B2"", ""엽산"", ""레시틴"", ""탈지분유"", ""L-발린"", ""효소처리스테비아"", ""L-이소로이신"", ""구아검""]",1
2006031126949,메가 프로틴쉐이크 바나나맛,(주) 빅솔반월공장,기타가공품,2012-12-26,protein,55,"[""팜유"", ""정제수"", ""귀리유"", ""이산화규소1"", ""레시틴"", ""탈지분유1"", ""L-발린"", ""효소처리스테비아"", ""L-로이신"", ""L-이소로이신"", ""홍화황색소"", ""홍화황색소"", ""구연산삼나트륨"", ""덱스트린"", ""바나나향분말"", ""바나나향"", ""덱스트린"", ""유당"", ""팩틴"", ""구아검"", ""분리대두단백"", ""분리유청단백"", ""유청단백농축"", ""레시틴"", ""치커리뿌리추출물"", ""건조콘시럽"", ""식용유지가공품"", ""엽산"", ""대두단백"", ""레시틴"", ""바나나농축액분말"", ""바나나농축액"", ""덱스트린"", ""분리완두단백"", ""비타민미네랄혼합제제"", ""제이인산칼슘"", ""비타민 C"", ""비타민E호합제제"", ""DL-a-토코페릴아세테이트"", ""변성전분"", ""말토덱스트린"", ""이산화규소1"", ""푸마르산제일철"", ""니코틴산아미드"", ""산화아연"", ""비타민 A 혼합제제"", ""VITAMIN A ACETATE"", ""말토덱스트린"", ""아라비아검"", ""옥수수전분"", ""비타민 E"", ""판토텐산칼슘"", ""비타민 B6 염산염"", ""비타민 B1염산염"", ""비타민 B2""]",1
2006031126948,메가 프로틴쉐이크 커피맛,(주) 빅솔반월공장,기타가공품,2012-12-26,protein,48,"[""옥수수전분"", ""아라비아검"", ""비타민 B1염산염"", ""비타민 B6 염산염"", ""판토텐산칼슘"", ""비타민 E"", ""엽산"", ""비타민 B2"", ""분리유청단백"", ""유청단백농축"", ""레시틴"", ""치커리뿌리추출물"", ""분리대두단백"", ""대두단백"", ""레시틴"", ""분리완두단백"", ""탈지분유"", ""인스턴트커피"", ""혼합제제2"", ""제이인산"", ""칼"", ""비타민 C"", ""비타민E호합제제"", ""DL-a-토코페릴아세테이트"", ""변성전분"", ""말토덱스트린"", ""이산화규소1"", ""푸마르산제일철"", ""니코틴산아미드"", ""산화아연"", ""비타민 A 혼합제제"", ""VITAMIN A ACETATE"", ""말토덱스트린"", ""식용유지가공품"", ""건조콘시럽"", ""팜유"", ""정제수"", ""귀리유"", ""이산화규소1"", ""레시틴"", ""효소처리스테비아"", ""커피향분말"", ""커피향키베이스"", ""덱스트린"", ""L-발린"", ""L-로이신"", ""L-이소로이신"", ""구아검""]",1
2016031136579,메가7프로틴,니트로랩,기타가공품,2018-11-15,protein,15,"[""유청단백분말"", ""코코아분말"", ""초코향분말"", ""비타민혼합제제"", ""혼합야채분말"", ""아미노산혼합제제"", ""효소처리스테비아"", ""비타민나무열매추출분말"", ""허브혼합추출물분말"", ""식물성크림"", ""노니추출분말"", ""콜라겐분말"", ""레몬밤분말"", ""아오리사과추출분말"", ""자몽분말""]",1
2015041512595,메가프로틴,(주)충청바이오텍,기타가공품,2024-03-12,protein,27,"[""혼합야채분말"", ""비타민 A"", ""비타민B2"", ""비타민C"", ""비타민E"", ""엽산"", ""귀리분말"", ""분리대두단백"", ""기타 농산가공품"", ""유청단백분말"", ""농축유청"", ""탈지분유"", ""폴리덱스트로스"", ""과당"", ""덱스트린"", ""프락토올리고당"", ""이눌린"", ""포도당"", ""전지분유"", ""딸기향분말"", ""차전자피식이섬유(고시형)"", ""딸기맛분말"", ""비타민미네랄혼합분말"", ""식물성크림혼합분말"", ""프로바이오틱스(고시형)"", ""감태추출물분말"", ""효소식품""]",1
20170495095120,메가프로틴,마이산홍벵이,곤충가공식품,2020-07-17,protein,2,"[""갈색거저리유충분말"", ""찹쌀분말""]",1
20170495095159,메가프로틴베타,마이산홍벵이,곤충가공식품,2022-04-27,protein,3,"[""갈색거저리유충분말"", ""찹쌀"", ""정제수""]",1
20170495095160,메가프로틴알파,마이산홍벵이,곤충가공식품,2022-04-27,protein,1,"[""갈색거저리유충""]",1
20000441043260,메디웰 완전균형영양식 프로틴1.5,매일유업(주)영동공장,일반 환자용 균형영양조제식품,2021-02-23,protein,25,"[""제이인산칼슘"", ""염화마그네슘"", ""L-아르지닌"", ""소르비탄지방산에스테르"", ""구연산칼륨"", ""대두식이섬유"", ""분리대두단백"", ""카제인나트륨"", ""채종유(유채유 또는 카놀라유)"", ""덱스트린"", ""정제수"", ""염화콜린"", ""식품첨가물혼합제제"", ""합성향료"", ""제삼인산칼슘"", ""산화아연"", ""황산제일철"", ""구연산삼나트륨"", ""프락토올리고당"", ""식품첨가물혼합제제"", ""L-카르니틴"", ""타우린"", ""염화칼륨"", ""제이인산칼륨"", ""식품첨가물혼합제제""]",1
