product_id,brand,clean_name,flavor,volume,pack_count,price,dup_count,product_line,full_name,maker,mall,category,naver_link,ingredients_json,nutrition_json,source,mfds_matched_name,mfds_report_no,match_score
55935422312,매일,매일유업 셀렉스 프로핏 완전단백질 딸기초코,,250ml,18,27600,1,매일유업셀렉스프로핏완전단백질딸기초코,"매일유업 셀렉스 프로핏 완전단백질 딸기초코, 250ml, 18개",매일유업,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/55935422312,,,naver_shop,,,0.133
57890706947,랩노쉬,삼양패키징 랩노쉬 프로틴 드링크 미니 카카오,,260ml,24,31500,1,삼양패키징랩노쉬프로틴드링크미니카카오,"삼양패키징 랩노쉬 프로틴 드링크 미니 카카오, 260ml, 24개",삼양패키징,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/57890706947,,,naver_shop,,,0.336
53509499526,닥터유,서울에프엔비 닥터유 프로 드링크,초코,250ml,24,44900,1,서울에프엔비닥터유프로드링크,"서울에프엔비 닥터유 프로 드링크 단백질 초코 , 250ml, 24개",서울에프엔비,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/53509499526,"[""기타가공품"", ""분리대두단백분말"", ""에리스리톨"", ""전지분유"", ""탈지분유분말"", ""분리유단백분말"", ""분리유단백분말"", ""유크림"", ""원유"", ""딸기과즙"", ""향료제제"", ""분리유단백분말"", ""정제수"", ""향료"", ""자당지방산에스테르"", ""L-카르니틴"", ""효소처리스테비아"", ""수크랄로스"", ""기타가공품"", ""젤란검"", ""토마토색소"", ""카복시메틸셀룰로스나트륨"", ""아세설팜칼륨"", ""정제소금"", ""탄산수소나트륨"", ""향료""]",,naver_shop,닥터유 프로 단백질 드링크 딸기,20200401439241,0.556
53509045291,매일,매일유업 셀렉스 프로틴 로우슈거,,190ml,48,51930,1,매일유업셀렉스프로틴로우슈거,"매일유업 셀렉스 프로틴 로우슈거 , 190ml, 48개",매일유업,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/53509045291,,,naver_shop,,,0.164
83576584731,빙그레,빙그레 더단백 드링크,초코,250ml,18,28900,2,빙그레더단백드링크,"빙그레 더단백 드링크 단백질음료 초코, 250ml, 18개",,빙그레 본사직영몰,단백질보충제 > 단백질음료,https://smartstore.naver.com/main/products/6032085243,,,naver_shop,,,0.34
53508783740,일동후디스,일동후디스 하이뮨 프로틴 밸런스,,190ml,16,12700,1,일동후디스하이뮨프로틴밸런스,"일동후디스 하이뮨 프로틴 밸런스 , 190ml, 16개",일동후디스,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/53508783740,,,naver_shop,,,0.297
57716328744,일동후디스,일동후디스 하이뮨 프로틴 밸런스 플러스,,190ml,32,23860,1,일동후디스하이뮨프로틴밸런스플러스,"일동후디스 하이뮨 프로틴 밸런스 플러스, 190ml, 32개",일동후디스,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/57716328744,,,naver_shop,,,0.264
53510815436,매일,매일유업 셀렉스 코어 프로틴 로우슈거,,125ml,24,18830,1,매일유업셀렉스코어프로틴로우슈거,"매일유업 셀렉스 코어 프로틴 로우슈거 , 125ml, 24개",매일유업,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/53510815436,,,naver_shop,,,0.15
87669290342,일동후디스,하이뮨 프로틴 밸런스 액티브 식물성,,250ml,36,59000,3,하이뮨프로틴밸런스액티브식물성,"[제로설계] 하이뮨 프로틴 밸런스 액티브 식물성 단백질 250ml, 36개",자연과사람들,일동후디스,단백질보충제 > 단백질음료,https://smartstore.naver.com/main/products/10124787412,"[""인산철"", ""분말베이스"", ""분말베이스"", ""분말베이스"", ""분말베이스"", ""분말베이스"", ""분말베이스"", ""분말베이스"", ""분말베이스"", ""분말베이스"", ""두류가공품"", ""분말베이스"", ""분말베이스"", ""분말베이스"", ""탄산칼슘"", ""비타민혼합분말"", ""비타민C"", ""정제소금"", ""수크랄로스"", ""혼합제제"", ""글리세린지방산에스테르"", ""글리세린디아세틸주석산지방산에스테르"", ""L-카르니틴"", ""향료"", ""향료"", ""향료"", ""수산화마그네슘"", ""산화아연"", ""젤란검"", ""아세설팜칼륨"", ""정제수"", ""혼합제제"", ""L-로이신""]",,naver_shop,하이뮨 프로틴 밸런스 액티브 식물성 단백질,20010515081561,0.879
53509499581,뉴케어,대상 뉴케어 올프로틴,바나나,245ml,24,41320,1,대상뉴케어올프로틴,"대상 뉴케어 올프로틴 바나나맛, 245ml, 24개",대상,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/53509499581,,,naver_shop,,,0.3
