report_no,name,maker,prdlst_type,report_date,chng_dt,category,ingredient_count,ingredients_json
19910490040204,제로카페시럽,세미기업(주),당류가공품,2024-08-06,2026-04-23,zero,10,"[""정제수"", ""식품첨가물"", ""식품첨가물"", ""카라멜색소 Ⅳ"", ""정제소금"", ""식품첨가물"", ""식품첨가물"", ""식품첨가물"", ""식품첨가물"", ""당류가공품""]"
2002046107316051,제로카페시럽,(주)동원홈푸드,음료베이스,2025-06-18,2025-08-16,zero,11,"[""혼합제제"", ""파라옥시안식향산에틸"", ""카라멜색소 Ⅳ"", ""수크랄로스"", ""주정"", ""기타가공품"", ""구연산"", ""아스파탐"", ""스테비올배당체"", ""에리스리톨"", ""정제수""]"
20070360143940,제로카페인 먹 드립백,(주)두리인터내셔날,침출차,2025-10-31,2025-11-27,zero,2,"[""도두씨앗"", ""보리""]"
20130555108302,제로칼로리 복숭아아이스티,주식회사 도투락,혼합음료,2023-04-13,2024-03-09,zero,9,"[""에리스리톨"", ""복사나무열매농축액"", ""구연산"", ""홍차분말"", ""수크랄로스"", ""아세설팜칼륨"", ""효소처리스테비아"", ""혼합제제"", ""정제수""]"
20130555108303,제로칼로리 아메리카노 스위트,주식회사 도투락,커피,2023-04-13,2026-04-24,zero,11,"[""에리스리톨"", ""커피농축액"", ""커피농축액"", ""탄산수소나트륨"", ""아세설팜칼륨"", ""감귤추출물"", ""수크랄로스"", ""스테비올배당체"", ""정제수"", ""합성향료"", ""합성향료""]"
20130555108304,제로칼로리 아메리카노 헤이즐넛향,주식회사 도투락,커피,2023-04-13,2026-04-24,zero,11,"[""커피농축액"", ""커피농축액"", ""에리스리톨"", ""정제수"", ""합성향료"", ""합성향료"", ""스테비올배당체"", ""수크랄로스"", ""아세설팜칼륨"", ""감귤추출물"", ""탄산수소나트륨""]"
19920624042901,제로칼로리 콜라,(주)상일,탄산음료,2022-11-01,2023-09-02,zero,9,"[""수크랄로스"", ""구연산칼륨"", ""구연산"", ""아세설팜칼륨"", ""안식향산나트륨"", ""혼합제제"", ""혼합제제"", ""이산화탄소"", ""정제수""]"
19950433026743,제로칼로리 포도(알룰로스 100%) CAN,(주)금강비앤에프,탄산음료,2023-06-05,2023-06-08,zero,6,"[""알룰로오스"", ""이산화탄소"", ""구연산"", ""포도향"", ""포도향"", ""정제수""]"
200803601643,제로칼로리슈가,제이에스푸드,에리스리톨,2014-04-01,2021-02-05,zero,1,"[""에리스리톨""]"
20200424090143,제로칼로리스위트,맘앤푸드,복합조미식품,2025-05-22,2025-05-23,zero,3,"[""에리스리톨"", ""난소화성말토덱스트린(고시형)"", ""나한과추출물분말""]"
200003643481020,제로칼로리스위트,(주)신원에프아이,기타가공품,2017-01-12,2026-02-01,zero,3,"[""나한과추출물"", ""치커리식이섬유"", ""천연첨가물""]"
20010338336238,제로칼로리스위트,(주)민푸드시스템,기타가공품,2020-12-18,2020-12-24,zero,3,"[""나한과추출물분말"", ""치커리식이섬유"", ""천연첨가물""]"
200003643481028,제로칼로리스위트-2,(주)신원에프아이,기타가공품,2017-03-24,2026-02-01,zero,2,"[""수크랄로스"", ""에리스리톨""]"
20060042813562,제로칼로퀸,플러스라이프,기타가공품,2019-05-30,2019-06-04,zero,14,"[""드럼스틱잎"", ""보이차추출물(기능성원료인정제2009-17호)"", ""둥굴레"", ""볶은카카오"", ""마테"", ""질경이껍질"", ""복령균핵"", ""알리움후커리"", ""뽕나무잎"", ""보리순"", ""핑거루트뿌리"", ""비타민나무열매농축액"", ""아로니아건조분말"", ""회향씨앗""]"
20160368641507,제로커피 블렌드어썸,(주)커피짓는사람들,커피,2022-05-18,2022-05-19,zero,1,"[""커피원두""]"
20220514163212,제로컷 α-CD,블루바이오,당류가공품,2025-06-17,2025-06-24,zero,14,"[""β-시클로덱스트린"", ""기타가공품"", ""기타가공품"", ""기타가공품"", ""테아닌"", ""난소화성말토덱스트린(고시형)"", ""L-시스틴"", ""L-트립토판"", ""분말결정포도당"", ""고형차"", ""과.채가공품"", ""과.채가공품"", ""α-시클로덱스트린"", ""γ-시클로덱스트린""]"
20220273857944,제로컷 알파CD,(주)네이처코퍼레이션,기타가공품,2025-11-11,2026-07-01,zero,8,"[""이산화규소"", ""DL-사과산"", ""효소처리스테비아"", ""효소식품"", ""알룰로오스"", ""당류가공품"", ""덱스트린"", ""α-시클로덱스트린""]"
20210444104491,제로컷 알파CD,엔에이치 바이오,기타가공품,2026-04-23,2026-04-25,zero,8,"[""시클로덱스트린"", ""덱스트린"", ""기타가공품"", ""알룰로오스"", ""효소식품"", ""효소처리스테비아"", ""DL-사과산"", ""이산화규소""]"
20170520023171,제로컷 알파CD,주식회사 상상바이오,기타가공품,2025-09-03,2026-07-01,zero,8,"[""DL-사과산"", ""효소처리스테비아"", ""이산화규소"", ""당류가공품"", ""당류가공품"", ""효소식품"", ""난소화성말토덱스트린(고시형)"", ""α-시클로덱스트린""]"
20200452306568,제로컷 알파CD 치커리 플러스,(주)에스엠바이오,기타가공품,2026-01-16,2026-01-23,zero,8,"[""이산화규소"", ""효소처리스테비아"", ""DL-사과산"", ""파인애플맛분말"", ""파인애플향분말"", ""난소화성말토덱스트린(고시형)"", ""치커리추출물"", ""α-시클로덱스트린""]"
202402796514,제로케미,룩케미로스터스,커피,2024-06-25,2024-06-27,zero,1,"[""커피원두""]"
202402796516,제로케미 블렌딩,룩케미로스터스,커피,2025-05-08,2026-07-09,zero,2,"[""커피원두"", ""커피원두""]"
2013020247554,제로코코아,마녀의 부엌,기타 코코아가공품,2024-03-21,2024-03-23,zero,2,"[""식품첨가물혼합제제"", ""코코아분말""]"
199104490041098,제로콘누들 건더기스프,상미식품주식회사,기타가공품,2024-10-11,2025-12-18,zero,5,"[""과.채가공품"", ""복합조미식품"", ""과.채가공품"", ""과.채가공품"", ""두류가공품""]"
20230268165116,제로콘누들 냉면양념스프,그린스퀘어(주),소스,2025-05-22,2025-12-12,zero,13,"[""파라옥시안식향산에틸"", ""올레오레진캡시컴"", ""파프리카추출색소"", ""주정"", ""참기름"", ""양파"", ""마늘"", ""고춧가루"", ""L-글루탐산나트륨"", ""에리스리톨"", ""발효식초"", ""변성전분"", ""정제수""]"
20230268165115,제로콘누들 냉면육수스프,그린스퀘어(주),소스,2025-05-22,2025-05-24,zero,18,"[""DL-사과산"", ""구연산"", ""효소처리스테비아"", ""에리스리톨"", ""알룰로오스"", ""변성전분"", ""정제수"", ""5-리보뉴클레오티드이나트륨"", ""L-글루탐산나트륨"", ""향료"", ""양조간장"", ""소스"", ""소스"", ""소스"", ""발효식초"", ""복합조미식품"", ""복합조미식품"", ""호박산이나트륨""]"
20230517206170,제로콘누들 넓적면,(주)라라에프엔비,건면,2024-09-26,2026-02-01,zero,6,"[""혼합제제"", ""정제소금"", ""감자전분"", ""식이섬유(고시형)"", ""중력분"", ""복합조미식품""]"
